timestamp,ap_name,ssid,client_id,client_description,event_category,event_type,event_detail
2026-03-20 21:20:49,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 association,"""channel: 11, rssi: 34, band: 2"""
2026-03-20 21:20:51,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,328f0272162f6208,e2:35:27:dd:dd:fa,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: E2:35:27:DD:DD:FA, aid: 192163845"""
2026-03-20 21:20:51,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,328f0272162f6208,e2:35:27:dd:dd:fa,802.11,802.11 association,"""channel: 11, rssi: 18, band: 2"""
2026-03-20 21:20:58,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,2f865976a28042c7,Android_8TR83X7K,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:20:59,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,2f865976a28042c7,Android_8TR83X7K,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 9E:41:13:B8:97:05, aid: 245928780"""
2026-03-20 21:20:59,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,2f865976a28042c7,Android_8TR83X7K,802.11,802.11 association,"""channel: 149, rssi: 10, band: 5"""
2026-03-20 21:21:01,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,4a1a12f42f0a8e96,Redmi-Note-12S,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:21:04,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,d48530f952a13353,2a:2c:e9:c5:88:94,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:21:12,061_La Leonera-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:21:13,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,13f1deb76db21f98,2e:0a:88:a9:7a:cf,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:21:14,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:21:16,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:21:22,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,ed85ca0e2c6b62b6,V2430,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 62:7A:45:FB:F4:50, aid: 632893190"""
2026-03-20 21:21:22,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,ed85ca0e2c6b62b6,V2430,802.11,802.11 association,"""channel: 149, rssi: 17, band: 5"""
2026-03-20 21:21:40,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,44307aa18314b4c0,Redmi-13C,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: A6:34:84:F0:3D:12, aid: 24291761"""
2026-03-20 21:21:40,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,44307aa18314b4c0,Redmi-13C,802.11,802.11 association,"""channel: 1, rssi: 22, band: 2"""
2026-03-20 21:21:48,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 96:F3:B5:F9:21:D8, aid: 2097047650"""
2026-03-20 21:21:48,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 association,"""channel: 11, rssi: 22, band: 2"""
2026-03-20 21:21:49,058_La Elvira-AP1,Zona Wifi Rural Gratis-Alcaldia,f91f73c8a353898c,Moto-G75-Sebastian,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 8A:04:18:22:54:97, aid: 1547463981"""
2026-03-20 21:21:49,058_La Elvira-AP1,Zona Wifi Rural Gratis-Alcaldia,f91f73c8a353898c,Moto-G75-Sebastian,802.11,802.11 association,"""channel: 11, rssi: 22, band: 2"""
2026-03-20 21:21:54,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,ed85ca0e2c6b62b6,V2430,Auth,Splash authentication,"""duration: 3600"""
2026-03-20 21:21:58,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,44307aa18314b4c0,Redmi-13C,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:22:06,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.11,802.11 disassociation,"""client has left AP"""
